date,wt0,wt1,wt2,wt3,wt4,wt5
1807-10-11,4,5,-1,-1,-1,-1
1807-10-12,5,-1,-1,-1,-1,-1
1807-10-13,5,-1,-1,-1,-1,-1
1807-10-14,5,-1,-1,-1,-1,-1
1807-10-15,5,-1,-1,-1,-1,-1
1807-10-16,5,-1,-1,-1,-1,-1
1807-10-17,5,-1,-1,-1,-1,-1
1807-10-18,3,5,-1,-1,-1,-1
1807-10-19,4,5,-1,-1,-1,-1
1807-10-20,3,5,4,-1,-1,-1
1807-10-21,2,-1,-1,-1,-1,-1
1807-10-22,2,7,-1,-1,-1,-1
1807-10-23,2,7,-1,-1,-1,-1
1807-10-24,2,7,-1,-1,-1,-1
1807-10-25,2,7,-1,-1,-1,-1
1807-10-26,2,7,-1,-1,-1,-1
1807-10-27,2,7,-1,-1,-1,-1
1807-10-28,7,6,2,-1,-1,-1
1807-10-29,7,-1,-1,-1,-1,-1
1807-10-30,7,-1,-1,-1,-1,-1
1807-10-31,7,-1,-1,-1,-1,-1
1807-11-01,1,4,-1,-1,-1,-1
1807-11-02,3,5,-1,-1,-1,-1
1807-11-03,2,7,-1,-1,-1,-1
1807-11-04,7,-1,-1,-1,-1,-1
1807-11-05,7,-1,-1,-1,-1,-1
1807-11-06,7,6,2,-1,-1,-1
1807-11-07,2,7,-1,-1,-1,-1
1807-11-08,7,2,-1,-1,-1,-1
1807-11-09,7,2,-1,-1,-1,-1
1807-11-10,7,2,-1,-1,-1,-1
1807-11-11,7,-1,-1,-1,-1,-1
1807-11-12,7,-1,-1,-1,-1,-1
1807-11-13,6,7,-1,-1,-1,-1
1807-11-14,4,5,-1,-1,-1,-1
1807-11-15,4,5,3,-1,-1,-1
1807-11-16,1,3,6,-1,-1,-1
1807-11-17,1,3,-1,-1,-1,-1
1807-11-18,2,7,-1,-1,-1,-1
1807-11-19,2,7,-1,-1,-1,-1
1807-11-20,7,-1,-1,-1,-1,-1
1807-11-21,7,2,-1,-1,-1,-1
1807-11-22,2,7,-1,-1,-1,-1
1807-11-23,2,-1,-1,-1,-1,-1
1807-11-24,7,-1,-1,-1,-1,-1
1807-11-25,2,3,-1,-1,-1,-1
1807-11-26,3,2,-1,-1,-1,-1
1807-11-27,3,-1,-1,-1,-1,-1
1807-11-28,3,1,2,-1,-1,-1
1807-11-29,7,2,-1,-1,-1,-1
1807-11-30,7,6,2,-1,-1,-1
1807-12-01,4,3,1,-1,-1,-1
1807-12-02,2,3,4,5,-1,-1
1807-12-03,6,7,-1,-1,-1,-1
1807-12-04,6,2,7,-1,-1,-1
1807-12-05,2,7,-1,-1,-1,-1
1807-12-06,2,7,-1,-1,-1,-1
1807-12-07,7,6,-1,-1,-1,-1
1807-12-08,7,-1,-1,-1,-1,-1
1807-12-09,6,7,-1,-1,-1,-1
1807-12-10,6,7,-1,-1,-1,-1
1807-12-11,6,1,-1,-1,-1,-1
1807-12-12,4,5,-1,-1,-1,-1
1807-12-13,5,4,-1,-1,-1,-1
1807-12-14,4,-1,-1,-1,-1,-1
1807-12-15,4,6,7,1,-1,-1
1807-12-16,4,5,-1,-1,-1,-1
1807-12-17,5,-1,-1,-1,-1,-1
1807-12-18,5,4,-1,-1,-1,-1
1807-12-19,4,1,2,3,7,5
1807-12-20,5,-1,-1,-1,-1,-1
1807-12-21,5,-1,-1,-1,-1,-1
1807-12-22,5,-1,-1,-1,-1,-1
1807-12-23,4,1,5,-1,-1,-1
1807-12-24,5,4,-1,-1,-1,-1
1807-12-25,5,-1,-1,-1,-1,-1
1807-12-26,5,-1,-1,-1,-1,-1
1807-12-27,6,-1,-1,-1,-1,-1
1807-12-28,5,4,7,-1,-1,-1
1807-12-29,5,3,-1,-1,-1,-1
1807-12-30,3,-1,-1,-1,-1,-1
1807-12-31,3,-1,-1,-1,-1,-1
