id,analog_ids,analog_dates,dists
268,10485,1993-09-16,2.459339127113841
269,13404,2001-09-13,1.7029407183685574
270,2100,1970-10-02,1.7286447492084782
271,18525,2015-09-21,2.128300443472486
272,10485,1993-09-16,2.2983839939719273
273,9391,1990-09-18,2.252658920751387
274,11593,1996-09-28,1.769636468394584
275,1739,1969-10-06,1.4782519417352464
276,13051,2000-09-25,2.034776527572514
277,13048,2000-09-22,1.8168058765464346
278,11959,1997-09-29,1.942231541474579
279,16700,2010-09-22,1.869166918466435
280,14522,2004-10-05,2.7265528822928355
281,17085,2011-10-12,2.5135236355572603
282,17085,2011-10-12,1.5239956545553
283,7576,1985-09-29,1.7558035189597156
284,1012,1967-10-10,1.865332321457462
285,1373,1968-10-05,1.8575419538435702
286,7577,1985-09-30,2.0673189018481817
287,6848,1983-10-02,1.6316115269762748
288,4679,1977-10-24,1.8207875171685852
289,15991,2008-10-13,1.5752613560025517
290,1009,1967-10-07,1.5870377399238778
291,15275,2006-10-28,1.995866553093628
292,7951,1986-10-09,2.243405196604103
293,6499,1982-10-18,2.5732829088888254
294,13441,2001-10-20,2.462482307982823
295,8317,1987-10-10,2.674177966657254
296,6503,1982-10-22,2.065120202293288
297,20019,2019-10-24,2.062387113975697
298,20019,2019-10-24,2.222246173561932
299,16739,2010-10-31,2.296086875636114
300,17464,2012-10-25,2.494796000129139
301,9435,1990-11-01,2.3787855344931574
302,13460,2001-11-08,2.598586111143113
303,12360,1998-11-04,3.0863081817398843
304,2137,1970-11-08,2.1813442306557453
305,3601,1974-11-11,2.609518044551414
306,3605,1974-11-15,2.2573973958947446
307,9074,1989-11-05,2.3166967866956276
308,12358,1998-11-02,2.3382388306103095
309,15299,2006-11-21,2.3004154262657273
310,18949,2016-11-18,2.255748820452115
311,9802,1991-11-03,2.609681248238305
312,1778,1969-11-14,1.9719229135135163
313,18209,2014-11-09,2.2649766535659324
314,13090,2000-11-03,2.491012091039246
315,9075,1989-11-06,2.7077094576040333
316,4334,1976-11-13,2.1179613079268416
317,8367,1987-11-29,2.8161709775716433
318,18223,2014-11-23,2.46839830255482
319,18226,2014-11-26,2.445530977107314
320,11274,1995-11-14,2.4050339352688406
